conversation_id,username,tweet_text,tweet_date,retweet_count,like_count,view_count,cash_tags,hashtags,mentionned_users,quoted_tweet,place,vibe,card
232983736759754753,basvandervoort,"Mandaat van de #ECB wordt verruimd en niet langer alleen gericht op bestrijden van inflatie,maar ook op bevorderen werkgelegenheid. #SP #",2012-08-07 23:37:06+00:00,0,0,,,"['ECB', 'SP']",,,,,
232974770315071488,HantecMarketsUK,After two day rally on optimism the #ECB will act on high borrowing costs for troubled #EZ countries #Euro stable at US$1.2399 on NY close.,2012-08-07 23:01:28+00:00,0,0,,,"['ECB', 'EZ', 'Euro']",,,,,
232971341756764160,legsidelizzy,Anyway. Here's my musings from earlier on today for Mirror Sport on the KP malarkey http://t.co/Ja4R7Li2  #Englandcricket  #ECB,2012-08-07 22:47:50+00:00,4,0,,,"['Englandcricket', 'ECB']",,,,,
232969881857966080,The_Cricketers,"Warwickshire flying high with Best, Piolet: Steffan Piolet and Paul Best swept Warwickshire t... http://t.co/F1PYIQ8b #ecb #icc #cricket",2012-08-07 22:42:02+00:00,0,0,,,"['ecb', 'icc', 'cricket']",,,,,
232964880792158208,CricketRightNow,"Warwickshire flying high with Best, Piolet http://t.co/2JsbFSsG #cricket #ecb",2012-08-07 22:22:10+00:00,0,0,,,"['cricket', 'ecb']",,,,,
232964811833622528,The_Cricketers,"#county #england Warwickshire flying high with Best, Piolet: Steffan Piolet and Paul Best swept Wa... http://t.co/F1PYIQ8b #ecb #cricket",2012-08-07 22:21:54+00:00,0,0,,,"['county', 'england', 'ecb', 'cricket']",,,,,
232964707068309504,butchbelano,"FX traders heed Draghi ""don't short"" advice on euro http://t.co/e9nxs2k2 via @reuters #Forex #FX #EU #euro #ECB #KAWASE",2012-08-07 22:21:29+00:00,0,0,,,"['Forex', 'FX', 'EU', 'euro', 'ECB', 'KAWASE']","[User(username='Reuters', id=1652541, displayname='Reuters', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,,,
232964247561334784,butchbelano,円、下落＝78円台後半〔NY外為〕（7日）(時事通信) - ニュース・コラム - Yahoo!ファイナンス http://t.co/LW0nYNb4 #Forex #FX #Yen #Euro #ECB #KAWASE,2012-08-07 22:19:39+00:00,0,0,,,"['Forex', 'FX', 'Yen', 'Euro', 'ECB', 'KAWASE']",,,,,
232962892704665600,Capital3x,C3X Live Trading 6 Aug - 10 Aug 2012 http://t.co/1zJbKwEl #ecb #forex,2012-08-07 22:14:16+00:00,0,0,,,"['ecb', 'forex']",,,,,
232956329663283200,CricketRightNow,Compton content to knuckle down http://t.co/Jso4Aone #cricket #ecb,2012-08-07 21:48:11+00:00,0,0,,,"['cricket', 'ecb']",,,,,
232953643123482624,JHILLMacro,“@mckonomy: S&amp;P downgrades #Greece outlook to negative. Still CCC. Raise your hand if it matters....” - 13 days until what? #ECB pays itself,2012-08-07 21:37:31+00:00,0,0,,,"['Greece', 'ECB']","[User(username='mckonomy', id=270453567, displayname='Michael McKee', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,,,
232953611875913729,The_Cricketers,"Compton content to knuckle down: Nick Compton believes it was necessary to ""get some ugly run... http://t.co/jkOniji7 #ecb #icc #cricket",2012-08-07 21:37:23+00:00,0,0,,,"['ecb', 'icc', 'cricket']",,,,,
232953492145307648,EUfiene,The #ECB - a building site: http://t.co/n3u3M7G2,2012-08-07 21:36:55+00:00,1,0,,,['ECB'],,,,,
232952669692645377,mhewson_CMC,Weekly Video Market Update 7th August - http://t.co/h9ZRZ7uz  #forex #euro #ECB #UK #BOE,2012-08-07 21:33:39+00:00,0,0,,,"['forex', 'euro', 'ECB', 'UK', 'BOE']",,,,,
232952657952784384,TexasHedger,"This evening a #German spokesperson for #Merkel sneezed, indicating #Germany on board with well, every said by #ECB's #Draghi. Oh, bless you",2012-08-07 21:33:36+00:00,0,0,,,"['German', 'Merkel', 'Germany', 'ECB', 'Draghi']",,,,,
232951785751457792,boominbeerot,ECB http://t.co/xYCYsbkU #The #ECB,2012-08-07 21:30:08+00:00,0,0,,,"['The', 'ECB']",,,,,
232944341348397057,eToro,"""A game of chicken between the #ECB and #bond market investors"" http://t.co/5MxC0vZf",2012-08-07 21:00:33+00:00,0,0,,,"['ECB', 'bond']",,,,,
232942704860995584,Warcherandson,"KP one the best batsmen in the world , only in England would force someone like this out ,come on  #ECB #oldfarts",2012-08-07 20:54:03+00:00,0,1,,,"['ECB', 'oldfarts']",,,,,
232935551307771904,EJ02DOM,"#ECB clearly haven't ""looked after"" @kevinpp24 very well. Ah diddums! Grow up fella and be grateful you have a job. Many don't. #EngvSA",2012-08-07 20:25:37+00:00,0,0,,,"['ECB', 'EngvSA']","[User(username='kevinpp24', id=1498213262, displayname='Kevin', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,,,
