username,language,isInfluencer,profession,isBank,hashtags
Hawkeseye72,0,0,0,0,0
AmitKum12462502,0,0,0,0,0
FunkRay2,0,0,0,0,0
Pololascience13,0,0,0,0,0
DoyleGermaine,0,0,0,0,0
kidoferebus,0,0,0,0,0
BobAfrica711,0,0,0,0,0
NorburyHigh,0,0,0,0,0
WarrenBancroft3,0,0,0,0,0
gavinb_finance,0,0,0,0,0
disco316,0,0,0,0,0
Basically101,0,0,0,0,0
kha171101,0,0,0,0,0
gampala_nadh,0,0,0,0,0
036yamo,0,0,0,0,0
rasheedIIyu,0,0,0,0,0
youngbio06,0,0,0,0,0
AntoineSakah,0,0,0,0,0
KamisoZarif,0,0,0,0,0
SBiggs79151856,0,0,0,0,0
WengMoon1,0,0,0,0,0
EddyHong17,0,0,0,0,0
gammaflip,0,0,0,0,0
micks1984,0,0,0,0,0
Giusepp99996616,0,0,0,0,0
TYPHAON_VALGARD,0,0,0,0,0
68021865X,0,0,0,0,0
ItsGintaras,0,0,0,0,0
daniel_rik,0,0,0,0,0
zkryyyy10,0,0,0,0,0
LinaKim62089954,0,0,0,0,0
Chop1980,0,0,0,0,0
DRA95609462,0,0,0,0,0
zia_hamdani,0,0,0,0,0
losssssssse,0,0,0,0,0
KEmma28,0,0,0,0,0
MackenzieFiddl2,0,0,0,0,0
BinaryGreyWolf,0,0,0,0,0
Goraja4,0,0,0,0,0
twittkasun,0,0,0,0,0
britke,0,0,0,0,0
RakSamplay,0,0,0,0,0
Jennife70937515,0,0,0,0,0
Ismailsalehgw,0,0,0,0,0
GGOPmKGffcOLZ8C,0,0,0,0,0
Pete08686542,0,0,0,0,0
gogogothu,0,0,0,0,0
Welling69823402,0,0,0,0,0
JFDumont6,0,0,0,0,0
WLW95017796,0,0,0,0,0
gingerbarstud,0,0,0,0,0
Viraj1101,0,0,0,0,0
findercomUK,0,0,0,0,0
USPDX,0,0,0,0,0
angelagnello21,0,0,0,0,0
agbala_c,0,0,0,0,0
jordanj15407124,0,0,0,0,0
HolyKanolie,0,0,0,0,0
decastro_bookie,0,0,0,0,0
Leonardo_dVc,0,0,0,0,0
Hurricanechange,0,0,0,0,0
SaeedAsadMr,0,0,0,0,0
_Michaelphantom,0,0,0,0,0
CryptoROD52,0,0,0,0,0
gimtaeseob12,0,0,0,0,0
RobinsomWolskam,0,0,0,0,0
Susanna1994423,0,0,0,0,0
Riccard25538858,0,0,0,0,0
Hussain09285554,0,0,0,0,0
JamesMcc10,0,0,0,0,0
GlennNorthcott1,0,0,0,0,0
isaackgithinji1,0,0,0,0,0
prav_virdi,0,0,0,0,0
wdgiven,0,0,0,0,0
dltdact,0,0,0,0,0
Billy05840513,0,0,0,0,0
RODOLPHOSILVA91,0,0,0,0,0
gentianahalimi,0,0,0,0,0
AlessiaMilar,0,0,0,0,0
andreucf6,0,0,0,0,0
GiangVHoang2x,0,0,0,0,0
1Mrfed,0,0,0,0,0
Brad00759339,0,0,0,0,0
CodeNameHOSEY,0,0,0,0,0
Trichom1,0,0,0,0,0
OnG2KCl,0,0,0,0,0
daviddiamgroot,0,0,0,0,0
RizanAldali,0,0,0,0,0
NuBranchGroup,0,0,0,0,0
ScottDay22,0,0,0,0,0
KrataTomasz,0,0,0,0,0
75023716KING,0,0,0,0,0
marketerfojlay,0,0,0,0,0
M6M112233,0,0,0,0,0
wiriya_ceriy,0,0,0,0,0
RobPrit66356377,0,0,0,0,0
Ocean_Criminel,0,0,0,0,0
JohnnyLaiStone,0,0,0,0,0
battery_licker,0,0,0,0,0
munisheak,0,0,0,0,0
Hamzah_Nordin,0,0,0,0,0
hasekyu,0,0,0,0,0
RajibIs66143035,0,0,0,0,0
oduperry,0,0,0,0,0
cinekalperen,0,0,0,0,0
ArthurM24961705,0,0,0,0,0
