username,language,isInfluencer,profession,isBank,isViral,hashtags
CeltiCRab19671,en,0,unknown,0,0,"['BankofEngland', 'Indyref', 'education']"
fxstreetcn,ko,0,unknown,0,0,"['GBPUSD', 'Banks', 'BOE']"
Mortgage_Shop,en,0,unknown,0,0,"['BankofEngland', 'bankbaserate', 'Fixit']"
DanNewberger,en,0,supporter,0,0,"['HoCoMD', 'BOE']"
PauIRob,en,0,unknown,0,0,"['skypapers', 'inflation', 'CostOfLivingCrisis', 'recession', 'depression', 'BoE']"
GaganJhajj1,en,0,finance expert,0,0,"['BankofEngland', 'economy', 'EnergyCrisis', 'inflation', 'baserate']"
fuckcancer56,en,0,unknown,0,0,"['Waterbury', 'BOE']"
FXStreetNews,en,0,unknown,0,0,"['GBPUSD', 'Majors', 'Macroeconomics', 'CentralBanks', 'Fed', 'BoE']"
christianborjon,0,0,0,0,0,0
CoachRPringle,en,0,unknown,0,0,"['BOE', 'BRAVE', 'E3']"
LakeGibsonFB,0,0,0,0,0,0
LGHSOfficial,0,0,0,0,0,0
TheFCATeam,0,0,0,0,0,0
boletines_es,es,0,unknown,0,0,['BOE']
Kevin_Warner1,af,0,unknown,0,0,"['interestrates', 'boe', 'ukrates', 'debt', 'mortgages']"
vlex_es,es,0,unknown,0,0,['BOE']
proactive_UK,en,0,unknown,0,0,"['BOE', 'Katie_Proactive']"
bankofengland,0,0,0,0,0,0
FXStreetnewsae,ar,0,unknown,0,0,"['GBPUSD', 'Banks', 'BOE']"
RobinsKaplan,en,0,politics,0,0,"['SpiritAirlines', 'JetBlue', 'Frontier', 'BOE', 'ECB', 'Fed', 'Recession', 'ConsumerSpending', 'PrearrangedTradingPlans', 'Substack']"
fxstreetnewsid,id,0,unknown,0,0,"['GBPUSD', 'Banks', 'BOE']"
FXStreetNews,en,0,unknown,0,0,"['GBPUSD', 'Banks', 'BOE']"
CryptoKrista,en,0,unknown,0,0,"['FutureofMoney', 'CBDC', 'CBDCs', 'blockchain', 'BankofEngland', 'Banking']"
huwsteenis,0,0,0,0,0,0
ddisparte,0,0,0,0,0,0
RealVision,en,0,unknown,0,0,"['inflation', 'ECB', 'BoE']"
dishonestmoney,en,0,unknown,0,0,['BoE']
kickingmustang,0,0,0,0,0,0
notayesmansecon,0,0,0,0,0,0
LatifElsakplc,en,0,finance expert,0,0,['BOE']
BorisJohnson,0,0,0,0,0,0
AndrewOrlowski,0,0,0,0,0,0
Peston,0,0,0,0,0,0
RishiSunak,0,0,0,0,0,0
bankofengland,en,0,unknown,0,0,
stevenexcels,0,0,0,0,0,0
andmar261,es,0,unknown,0,0,"['BCE', 'Fed', 'BoE']"
AUDIOmercados,0,0,0,0,0,0
meludus_,es,0,unknown,0,0,"['Skyscanner', 'BOE']"
Coreco,en,0,unknown,0,0,"['raterise', 'bankofengland', 'blog', 'mortgagebroker']"
syamkp1,en,0,analyst,0,0,"['markets', 'hawkish', 'ECB', 'Gold', 'EURUSD', 'fed', 'boe', 'dxy']"
cidodiba,es,0,unknown,0,0,"['Legionelosis', 'Legislació', 'BOE', 'Salut']"
sanidadgob,0,0,0,0,0,0
BullseyeFinUK,en,0,finance expert,0,0,"['financeandeconomy', 'BankofEngland', 'MonetaryPolicy', 'InterestRates', 'RateHikes', 'inflation']"
lfajardo,es,0,unknown,0,0,"['BOE', 'LeyGeneralDeTelecomunicaciones', 'AGE', 'AAPP']"
radiomania_net,es,0,unknown,0,0,['BOE']
converteruk,en,0,unknown,0,0,"['exchangerate', 'pound', 'sterling', 'GBP', 'bankofengland']"
bibliotecasalut,ca,0,unknown,0,0,"['BCSlegislacio', 'LegislacióSanitària', 'novetats', 'salut', 'BOE', 'DOGC', 'DOUE', 'BOPC']"
bibliotecasalut,0,0,0,0,0,0
P_risks,it,0,unknown,0,0,"['ECB', 'FED', 'BOE', 'glopolitica']"
JimSpoons1,en,0,finance expert,0,0,"['GOV', 'BoE']"
