source,target,type,weight
bankofengland,bankofengland,tweet,1.0
bankofengland,OleOsterhammel,mention,0.5
bankofengland,capehaze5,mention,0.5
bankofengland,TheFCA,mention,0.5
bankofengland,BoELondon,mention,0.5
bankofengland,Dave34060901,mention,0.5
bankofengland,RupalEconomics,mention,0.5
bankofengland,MeaningJack,mention,0.5
bankofengland,JD_Is_Faith,mention,0.5
bankofengland,RobinLP93,mention,0.5
bankofengland,hmtreasury,mention,0.5
bankofengland,LivEchonews,mention,0.5
bankofengland,BoENorthWest,mention,0.5
bankofengland,raposoguillermo,mention,0.5
bankofengland,yoyi_vs,mention,0.5
bankofengland,makahar,mention,0.5
bankofengland,BoENorthEast,mention,0.5
bankofengland,DwayneTriplett1,mention,0.5
bankofengland,Mcmanybucks,mention,0.5
bankofengland,RoyalMintUK,mention,0.5
bankofengland,perennialcapt,mention,0.5
bankofengland,heather10552,mention,0.5
bankofengland,tyranny_be_gone,mention,0.5
bankofengland,Zoukers,mention,0.5
bankofengland,SilentCryptoBob,mention,0.5
bankofengland,Chalkylwhite,mention,0.5
bankofengland,VisualCJS,mention,0.5
bankofengland,ojfsryiomv45,mention,0.5
bankofengland,McDonaldGiorgia,mention,0.5
bankofengland,VincyBrit2010,mention,0.5
bankofengland,WarwickBSchool,mention,0.5
bankofengland,MatheshKethes,mention,0.5
bankofengland,Slytherinshare,mention,0.5
bankofengland,dpinto_ortega,mention,0.5
bankofengland,maneco1964,mention,0.5
bankofengland,just_crystals_,mention,0.5
bankofengland,Ollieoud,mention,0.5
bankofengland,investingidiocy,mention,0.5
bankofengland,blairgadgie,mention,0.5
bankofengland,matefinance,mention,0.5
bankofengland,kuocsemajn,mention,0.5
bankofengland,Bradleyxulu,mention,0.5
bankofengland,ashik_wani,mention,0.5
bankofengland,sglptasa,mention,0.5
bankofengland,loulour1982,mention,0.5
bankofengland,joyrajwaikhom,mention,0.5
bankofengland,ShrhanAhmed,mention,0.5
bankofengland,elinspain,mention,0.5
bankofengland,MrGChampion,mention,0.5
bankofengland,ASupraspace,mention,0.5
bankofengland,fatz68,mention,0.5
bankofengland,mmelegancy,mention,0.5
bankofengland,ReginaWalton,mention,0.5
bankofengland,Bellka84875419,mention,0.5
bankofengland,MisterQuintus,mention,0.5
bankofengland,KtbearK,mention,0.5
bankofengland,david_mutumba1,mention,0.5
bankofengland,nw_jan,mention,0.5
bankofengland,Mangiafuococo,mention,0.5
bankofengland,tarangjain13,mention,0.5
bankofengland,AshleyM34818259,mention,0.5
bankofengland,onigiri247,mention,0.5
bankofengland,lostinthemome17,mention,0.5
bankofengland,RoyalFamily,mention,0.5
bankofengland,parcelbroker,mention,0.5
bankofengland,tinas411,mention,0.5
bankofengland,IrnBruGal,mention,0.5
bankofengland,Michelle290107,mention,0.5
bankofengland,azheraslam1,mention,0.5
bankofengland,drweb30,mention,0.5
bankofengland,KieranWindsor,mention,0.5
bankofengland,basque_golance,mention,0.5
bankofengland,LANk655,mention,0.5
bankofengland,ogue,mention,0.5
bankofengland,Quant_Girl,mention,0.5
bankofengland,Rudolphus_hodl,mention,0.5
bankofengland,Itslossedandnot,mention,0.5
bankofengland,ramsayrules,mention,0.5
bankofengland,thebankofghana,mention,0.5
bankofengland,FCDOGovUK,mention,0.5
bankofengland,Don_Carlo7,mention,0.5
bankofengland,LdnParris,mention,0.5
bankofengland,ValeriaOrtizVM,mention,0.5
bankofengland,PeterMNorman,mention,0.5
bankofengland,marktabet,mention,0.5
bankofengland,SimonBean8,mention,0.5
bankofengland,OmarXhagag,mention,0.5
bankofengland,cityoflondon,mention,0.5
bankofengland,sparkyshiny,mention,0.5
bankofengland,StereoVogue,mention,0.5
bankofengland,ecb,mention,0.5
bankofengland,KingsCollegeLon,mention,0.5
bankofengland,kingsbschool,mention,0.5
bankofengland,BoE_Research,mention,0.5
bankofengland,stevenexcels,mention,0.5
bankofengland,rhock1979,mention,0.5
bankofengland,Carlotta678,mention,0.5
bankofengland,paulysfootball,mention,0.5
bankofengland,jayzheather7,mention,0.5
bankofengland,farmfriendlincs,mention,0.5
bankofengland,Kristaltipps13,mention,0.5
bankofengland,mccann_bert,mention,0.5
bankofengland,PETITJEANEmeli1,mention,0.5
bankofengland,Greyadder,mention,0.5
bankofengland,BradfordLitFest,mention,0.5
bankofengland,zoesqwilliams,mention,0.5
bankofengland,Tirthankar_WEX,mention,0.5
bankofengland,cstone_press,mention,0.5
bankofengland,boescotland,mention,0.5
bankofengland,RoyalEconSoc,mention,0.5
bankofengland,boemuseum,mention,0.5
bankofengland,tomjrowley,mention,0.5
bankofengland,BoEYorkshire,mention,0.5
bankofengland,MeenaMS0705,mention,0.5
bankofengland,boro19932013,mention,0.5
bankofengland,maxmarr,mention,0.5
bankofengland,Ntombi202020,mention,0.5
bankofengland,karardotartist,mention,0.5
bankofengland,FillisMarco1,mention,0.5
bankofengland,gurevitchesque,mention,0.5
bankofengland,ronny_whitman,mention,0.5
bankofengland,pique90s,mention,0.5
