username,language,isInfluencer,profession,isBank,isViral,hashtags
bankofengland,en,0,unknown,0,0,
OleOsterhammel,0,0,0,0,0,0
bankofengland,en,0,politics,0,0,
bankofengland,en,0,analyst,0,0,
bankofengland,en,0,supporter,0,0,
capehaze5,0,0,0,0,0,0
bankofengland,en,0,supporter,0,0,"['AI', 'machinelearning']"
TheFCA,0,0,0,0,0,0
bankofengland,en,0,finance expert,0,0,['BoECitizensPanel']
BoELondon,0,0,0,0,0,0
Dave34060901,0,0,0,0,0,0
bankofengland,en,0,supporter,0,1,
RupalEconomics,0,0,0,0,0,0
MeaningJack,0,0,0,0,0,0
bankofengland,en,0,unknown,0,1,
JD_Is_Faith,0,0,0,0,0,0
RobinLP93,0,0,0,0,0,0
bankofengland,en,0,analyst,0,1,
bankofengland,en,1,unknown,0,1,
hmtreasury,0,0,0,0,0,0
bankofengland,en,0,unknown,0,0,['BoECitizensPanel']
LivEchonews,0,0,0,0,0,0
BoENorthWest,0,0,0,0,0,0
bankofengland,en,0,unknown,0,1,['BankRate']
bankofengland,en,0,analyst,0,1,['MonetaryPolicyReport']
bankofengland,en,0,politics,0,1,"['BankRate', 'MonetaryPolicyReport']"
bankofengland,en,0,unknown,0,0,['PRARegulatoryDigest']
bankofengland,en,0,finance expert,0,1,
bankofengland,en,0,finance expert,0,1,['BoECitizensPanel']
raposoguillermo,0,0,0,0,0,0
yoyi_vs,0,0,0,0,0,0
makahar,0,0,0,0,0,0
bankofengland,en,0,unknown,0,1,['BoECitizensPanel']
BoENorthEast,0,0,0,0,0,0
DwayneTriplett1,0,0,0,0,0,0
bankofengland,en,0,unknown,0,1,['PRARegulatoryDigest']
Mcmanybucks,0,0,0,0,0,0
RoyalMintUK,0,0,0,0,0,0
perennialcapt,0,0,0,0,0,0
heather10552,0,0,0,0,0,0
tyranny_be_gone,0,0,0,0,0,0
Zoukers,0,0,0,0,0,0
bankofengland,en,0,politics,0,0,['BankRate']
bankofengland,en,0,analyst,0,0,['FinancialStabilityReport']
bankofengland,en,0,finance expert,0,0,
SilentCryptoBob,0,0,0,0,0,0
Chalkylwhite,0,0,0,0,0,0
VisualCJS,0,0,0,0,0,0
ojfsryiomv45,0,0,0,0,0,0
McDonaldGiorgia,0,0,0,0,0,0
bankofengland,en,0,critic,0,0,
VincyBrit2010,0,0,0,0,0,0
WarwickBSchool,0,0,0,0,0,0
MatheshKethes,0,0,0,0,0,0
bankofengland,en,0,analyst,0,0,['MonetaryPolicyReport']
bankofengland,en,0,analyst,0,0,"['MonetaryPolicyReport', 'inflation']"
bankofengland,en,0,analyst,0,0,"['MonetaryPolicyReport', 'BankRate']"
bankofengland,en,0,politics,0,0,"['BankRate', 'MonetaryPolicyReport']"
Slytherinshare,0,0,0,0,0,0
dpinto_ortega,0,0,0,0,0,0
maneco1964,0,0,0,0,0,0
just_crystals_,0,0,0,0,0,0
Ollieoud,0,0,0,0,0,0
investingidiocy,0,0,0,0,0,0
blairgadgie,0,0,0,0,0,0
matefinance,0,0,0,0,0,0
kuocsemajn,0,0,0,0,0,0
bankofengland,en,0,curious,0,0,
bankofengland,en,0,supporter,0,0,['AI']
Bradleyxulu,0,0,0,0,0,0
bankofengland,en,0,unknown,0,0,['SNEsummit22']
ashik_wani,0,0,0,0,0,0
sglptasa,0,0,0,0,0,0
loulour1982,0,0,0,0,0,0
joyrajwaikhom,0,0,0,0,0,0
ShrhanAhmed,0,0,0,0,0,0
elinspain,0,0,0,0,0,0
MrGChampion,0,0,0,0,0,0
