source,target,type,weight
protein,ecb,follow,1.5
loresantucci,ecb,follow,1.5
kreso_86,ecb,follow,1.5
surendhar349,ecb,follow,1.5
coskun__hakan,ecb,follow,1.5
FirmanS42029147,ecb,follow,1.5
OluMbatha,ecb,follow,1.5
Permabear123,ecb,follow,1.5
elgoulay,ecb,follow,1.5
abdulla70421643,ecb,follow,1.5
MariLis38946665,ecb,follow,1.5
uk_tuan,ecb,follow,1.5
monero_max,ecb,follow,1.5
AyushSinghtwts,ecb,follow,1.5
drphardt,ecb,follow,1.5
Arena03G,ecb,follow,1.5
xavierbcn92,ecb,follow,1.5
JAIMEWang1999,ecb,follow,1.5
Szabimi,ecb,follow,1.5
iykonono,ecb,follow,1.5
Bambus19828,ecb,follow,1.5
FerGL87,ecb,follow,1.5
FlorianAugas,ecb,follow,1.5
ViniciusBarce18,ecb,follow,1.5
dinnypissmeaff,ecb,follow,1.5
ammad_Khan_says,ecb,follow,1.5
Winnipeg1225,ecb,follow,1.5
KatalinRusz,ecb,follow,1.5
CamelBroke,ecb,follow,1.5
dreg56,ecb,follow,1.5
D28922206,ecb,follow,1.5
gworld1966284,ecb,follow,1.5
HakobyanTigran_,ecb,follow,1.5
hassoo_tech,ecb,follow,1.5
M91256070,ecb,follow,1.5
SamPapadimitri2,ecb,follow,1.5
ZeljkoSlogar,ecb,follow,1.5
AntgJdfs,ecb,follow,1.5
obomalemao,ecb,follow,1.5
casneaua,ecb,follow,1.5
artturomtz,ecb,follow,1.5
Sajid19807534,ecb,follow,1.5
alexandergarkow,ecb,follow,1.5
Usle_4,ecb,follow,1.5
Kukkoinen,ecb,follow,1.5
Morisaboo,ecb,follow,1.5
DerMasterVit,ecb,follow,1.5
hasan5d_,ecb,follow,1.5
AandreeaC303,ecb,follow,1.5
JararAdnan1,ecb,follow,1.5
SportsLiveBD3,ecb,follow,1.5
harmon4603,ecb,follow,1.5
adzrul89,ecb,follow,1.5
JeffLai32612484,ecb,follow,1.5
andrewsayer,ecb,follow,1.5
SMawnnn,ecb,follow,1.5
peterawilkins,ecb,follow,1.5
VkpuriEsq,ecb,follow,1.5
ThereseElm,ecb,follow,1.5
JR_CryptoKing,ecb,follow,1.5
CharlyRomero001,ecb,follow,1.5
kennyHoang1979,ecb,follow,1.5
arijitdasrider,ecb,follow,1.5
xrpeeeee,ecb,follow,1.5
SoniaStromeyer,ecb,follow,1.5
foreverNsociety,ecb,follow,1.5
LMitzka,ecb,follow,1.5
TheVeteranMBA,ecb,follow,1.5
frankleeun0919,ecb,follow,1.5
CarcuzWalter,ecb,follow,1.5
FritzArg87,ecb,follow,1.5
Marlon_mso,ecb,follow,1.5
robertkuiper66,ecb,follow,1.5
lookingaroundit,ecb,follow,1.5
Miguel90130699,ecb,follow,1.5
NaveenBachwani1,ecb,follow,1.5
solinas_diego,ecb,follow,1.5
Rezaarisandi24,ecb,follow,1.5
Livia00347183,ecb,follow,1.5
ElisaBoeri,ecb,follow,1.5
sino1960,ecb,follow,1.5
dece_th,ecb,follow,1.5
Frank60566711,ecb,follow,1.5
TelmoSo05776343,ecb,follow,1.5
AzarHuseynov,ecb,follow,1.5
alanpachino,ecb,follow,1.5
Super_Bad_Seed,ecb,follow,1.5
fhsiwoakjhj,ecb,follow,1.5
mari_morani,ecb,follow,1.5
sebszj,ecb,follow,1.5
kk944P,ecb,follow,1.5
TimotheeDavid,ecb,follow,1.5
Pecrypto1,ecb,follow,1.5
RichJ_Newman,ecb,follow,1.5
qnm2022,ecb,follow,1.5
