source,target,type,weight
MONEYSQUARE_inc,ecb,tweet,1.0
biztoc,ecb,tweet,1.0
fxstreetnewsvn,ecb,tweet,1.0
FXStreetNews,ecb,tweet,1.0
FXStreetNews,anilpanchal7,mention,0.5
Unionbuster,ecb,tweet,1.0
MichielM,ecb,tweet,1.0
MichielM,MinPres,mention,0.5
Kristian_FPM,ecb,tweet,1.0
AlanTonelson,ecb,tweet,1.0
SjoerdBuisman,ecb,tweet,1.0
AnkitMadX,ecb,tweet,1.0
RolandLeusden,ecb,tweet,1.0
RolandLeusden,ShopWebber,mention,0.5
RolandLeusden,MinPres,mention,0.5
Marco_Abatecola,ecb,tweet,1.0
JStanleyFX,ecb,tweet,1.0
TheKitmanUK,ecb,tweet,1.0
cricnode,ecb,tweet,1.0
IlyaSpivak,ecb,tweet,1.0
IlyaSpivak,CVecchioFX,mention,0.5
TalkMarkets,ecb,tweet,1.0
electriccitybet,ecb,tweet,1.0
MSServices_info,ecb,tweet,1.0
rotepille,ecb,tweet,1.0
silvionicolini,ecb,tweet,1.0
aajdigital,ecb,tweet,1.0
AdaptiveAlph,ecb,tweet,1.0
JuicyReviewz7,ecb,tweet,1.0
paam1972,ecb,tweet,1.0
paam1972,Schuldensuehner,mention,0.5
vasiliypk,ecb,tweet,1.0
iabhijeetsingh,ecb,tweet,1.0
PoohBearCorner,ecb,tweet,1.0
ShaneMhamal,ecb,tweet,1.0
awamiawazsindhi,ecb,tweet,1.0
mariovoorbij,ecb,tweet,1.0
mariovoorbij,edinmujagic,mention,0.5
cric_talk45,ecb,tweet,1.0
aajtak,ecb,tweet,1.0
xglobalmarkets,ecb,tweet,1.0
wealthof21M,ecb,tweet,1.0
StoriesCW,ecb,tweet,1.0
StoriesCW,englandcricket,mention,0.5
Schmidt18782696,ecb,tweet,1.0
Quantumbux,ecb,tweet,1.0
dailycricketbd,ecb,tweet,1.0
MPHoogeveen,ecb,tweet,1.0
PratikTaral_,ecb,tweet,1.0
PratikTaral_,Jaspritbumrah93,mention,0.5
VinkteshR,ecb,tweet,1.0
FXStreetnewsae,ecb,tweet,1.0
eelcoheinen,ecb,tweet,1.0
TodaroRichard,ecb,tweet,1.0
TodaroRichard,DeItaone,mention,0.5
997_Carrera,ecb,tweet,1.0
997_Carrera,DigPerspectives,mention,0.5
MajeePada,ecb,tweet,1.0
MajeePada,josbuttler,mention,0.5
MajeePada,englandcricket,mention,0.5
dineshbedi6,ecb,tweet,1.0
dineshbedi6,ECB_cricket,mention,0.5
dineshbedi6,josbuttler,mention,0.5
dineshbedi6,Eoin16,mention,0.5
SportsKesari,ecb,tweet,1.0
btc_stock,ecb,tweet,1.0
ucd_oa,ecb,tweet,1.0
dineshbedi6,JofraArcher,mention,0.5
dineshbedi6,ICC,mention,0.5
SportsTodayofc,ecb,tweet,1.0
GoodNewsToday,ecb,tweet,1.0
BoilerRoomTweet,ecb,tweet,1.0
RichardEgdom,ecb,tweet,1.0
NAYAN130698,ecb,tweet,1.0
TNNavbharat,ecb,tweet,1.0
TNNavbharat,englandcricket,mention,0.5
habercoinnet,ecb,tweet,1.0
StockBondTrader,ecb,tweet,1.0
StockBondTrader,danielgladis,mention,0.5
OnPlaygrounds1,ecb,tweet,1.0
IndiaTVSports,ecb,tweet,1.0
IndiaTVSports,englandcricket,mention,0.5
IndiaTVSports,josbuttler,mention,0.5
IndiaTVHindi,ecb,tweet,1.0
IndiaTVHindi,englandcricket,mention,0.5
IndiaTVHindi,josbuttler,mention,0.5
InsideSportIND,ecb,tweet,1.0
InsideSportIND,josbuttler,mention,0.5
SportzFront,ecb,tweet,1.0
Kapono_P,ecb,tweet,1.0
MykhelKannada,ecb,tweet,1.0
cric_opia,ecb,tweet,1.0
Goldbroker_com,ecb,tweet,1.0
Goldbroker_com,julienchler,mention,0.5
scoresnow_in,ecb,tweet,1.0
sportsmail24,ecb,tweet,1.0
themahafuzhomeo,ecb,tweet,1.0
themahafuzhomeo,ECB_cricket,mention,0.5
themahafuzhomeo,BCCI,mention,0.5
RacoesB,ecb,tweet,1.0
toisports,ecb,tweet,1.0
toisports,josbuttler,mention,0.5
toisports,Eoin16,mention,0.5
noticiasfx,ecb,tweet,1.0
Ed2199,ecb,tweet,1.0
kilomr1000,ecb,tweet,1.0
Forbes_MENA_,ecb,tweet,1.0
brookinvest,ecb,tweet,1.0
MikeStachurski,ecb,tweet,1.0
FranCanJourno,ecb,tweet,1.0
fxstreetnewsid,ecb,tweet,1.0
fxstreetcn,ecb,tweet,1.0
FriasPortfolios,ecb,tweet,1.0
RobinsKaplan,ecb,tweet,1.0
Sino_Market,ecb,tweet,1.0
LoomisSayles,ecb,tweet,1.0
CUC_05,ecb,tweet,1.0
economyninja,ecb,tweet,1.0
eelcoheinen,BNR,mention,0.5
francelenzi,ecb,tweet,1.0
ZeeOdisha,ecb,tweet,1.0
24hFinanzFrei,ecb,tweet,1.0
24hFinanzFrei,Santiago_JM2021,mention,0.5
24hFinanzFrei,TheMoonCarl,mention,0.5
24hFinanzFrei,CryptoJobs,mention,0.5
GabPa,ecb,tweet,1.0
PBruynen,ecb,tweet,1.0
PBruynen,ecb,mention,0.5
PBruynen,NBB_BNB_NL,mention,0.5
FXStreetNews,eren_fxstreet,mention,0.5
RealVision,ecb,tweet,1.0
reb00t2r00t,ecb,tweet,1.0
reb00t2r00t,Twitter,mention,0.5
reb00t2r00t,reb00t2r00t,mention,0.5
_Forex_Wizard,ecb,tweet,1.0
_Forex_Wizard,LiveSquawk,mention,0.5
_Forex_Wizard,Lagarde,mention,0.5
OneCricketApp,ecb,tweet,1.0
DisruptionBank,ecb,tweet,1.0
HendrikdeHaan,ecb,tweet,1.0
HendrikdeHaan,lexhoogduin,mention,0.5
HendrikdeHaan,martinvisser,mention,0.5
