username,language,isInfluencer,profession,isBank,isViral,hashtags
MONEYSQUARE_inc,ja,0,unknown,0,0,"['ユーロ', 'ECB', '英ポンド', '経済指標', 'FX', 'マネースクエア']"
biztoc,en,0,unknown,0,0,"['p500', 'europeancentralbank', 'sampsp500', 'fintwit']"
fxstreetnewsvn,vi,0,unknown,0,0,"['ECB', 'CentralBanks', 'EURUSD']"
FXStreetNews,en,0,unknown,0,0,"['EURUSD', 'RiskAppetite', 'ECB', 'Inflation', 'Recession']"
anilpanchal7,0,0,0,0,0,0
FXStreetNews,en,0,unknown,0,0,"['ECB', 'RiskAppetite', 'EURUSD', 'NewsTrading', 'InterestRate']"
Unionbuster,en,0,unknown,0,0,"['EU', 'ECB', 'Lagarde', 'bbcnews', 'skynews', 'GBNews', 'c4news', 'ITVNews', 'bbcaq', 'bbcqt']"
MichielM,nl,0,unknown,0,0,"['Rutte', 'ECB', 'burgeropstand', 'debat', 'boerenopstand', 'inflatie']"
MinPres,0,0,0,0,0,0
Kristian_FPM,en,0,finance expert,0,0,"['ECB', 'inflation', 'risingprices', 'supplychain', 'economy', 'coronavirus', 'recession']"
AlanTonelson,en,0,finance expert,0,0,"['inflation', 'monetarypolicy', 'Germany', 'taxpayers', 'eurozone', 'euro', 'ECB', 'economy', 'Europe']"
SjoerdBuisman,en,0,unknown,0,0,['ECB']
AnkitMadX,de,0,unknown,0,0,"['Operationsovereigntwist', 'ECB', 'EURUSD']"
RolandLeusden,nl,0,unknown,0,0,"['biljoenengebakkenluchteuro', 'ECB']"
ShopWebber,0,0,0,0,0,0
Marco_Abatecola,fr,0,unknown,0,0,['ECB']
JStanleyFX,en,0,finance expert,0,0,"['ECB', 'BoJ']"
TheKitmanUK,en,0,unknown,0,0,"['Adidas', 'Cricket', 'ECB', 'EnglandCricket', 'TheKitman']"
cricnode,en,0,unknown,0,0,"['ECB', 'England', 'ThreeLions', 'JosButtler', 'CricketTwitter']"
IlyaSpivak,en,0,unknown,0,0,"['ECB', 'EURUSD']"
CVecchioFX,0,0,0,0,0,0
TalkMarkets,en,0,unknown,0,0,"['Euro', 'ECB', 'EUR', 'GBP', 'JPY', 'USD']"
electriccitybet,en,0,unknown,0,0,"['freeplays', 'Baseball', 'MLB', 'ECB']"
MSServices_info,en,0,unknown,0,0,"['EP', 'ECB', 'EU', 'SEC', 'Bitcoin', 'EuropeanParliament', 'EuropeanUnion', 'Europe', 'MiCA', 'TFR', 'TravelRule']"
rotepille,en,0,unknown,0,0,['ECB']
silvionicolini,it,0,unknown,0,0,['ECB']
aajdigital,ur,0,unknown,0,0,"['JosButtler', 'england', 'ECB', 'cricket']"
AdaptiveAlph,en,0,curious,0,0,"['FederalReserve', 'BTC', 'Coinbase', 'inflation', 'mitch', 'Biden', 'Powell', 'Lagarde', 'ECB']"
JuicyReviewz7,en,0,unknown,0,0,"['Business', 'ChristineLagarde', 'ECB', 'ECBPresident', 'inflation', 'interestcharges', 'JeromePowell', 'Business', 'Business', 'ChristineLagarde', 'ECB', 'ECBPresident', 'inflation', 'interestcharges', 'JeromePowell']"
paam1972,it,0,unknown,0,0,"['ECB', 'Spread']"
Schuldensuehner,0,0,0,0,0,0
