source,target,type,weight
ecb,ecb,tweet,1.0
ecb,Isabel_Schnabel,mention,0.5
ecb,Bloomberg,mention,0.5
ecb,CER_EU,mention,0.5
ecb,EUdelegationUK,mention,0.5
ecb,katieranger_,mention,0.5
ecb,Lagarde,mention,0.5
ecb,Europarl_EN,mention,0.5
ecb,centralbank_ie,mention,0.5
ecb,fwred,mention,0.5
ecb,JanBerka8,mention,0.5
ecb,pietphc,mention,0.5
ecb,xadarcy,mention,0.5
ecb,ReclaimFinance,mention,0.5
ecb,stanjourdan,mention,0.5
ecb,NGFS_,mention,0.5
ecb,SZ,mention,0.5
ecb,FrankElderson,mention,0.5
ecb,finanzwende,mention,0.5
ecb,EBA_News,mention,0.5
ecb,jeuasommenulle,mention,0.5
ecb,handelsblatt,mention,0.5
ecb,EP_Economics,mention,0.5
ecb,BankofGreece,mention,0.5
ecb,FT,mention,0.5
ecb,riksbanken,mention,0.5
ecb,LSEnews,mention,0.5
ecb,HNB_HR,mention,0.5
ecb,CEAJE,mention,0.5
ecb,FAZ_NET,mention,0.5
ecb,lemondefr,mention,0.5
ecb,Eva_M_Taylor,mention,0.5
ecb,AmerBanker,mention,0.5
ecb,CBD_COP15,mention,0.5
ecb,BaFin_Bund,mention,0.5
ecb,LBS,mention,0.5
ecb,EUI_FBF_School,mention,0.5
ecb,MilanoFinanza,mention,0.5
ecb,JohnPCFell,mention,0.5
ecb,ESRB,mention,0.5
ecb,EUI_EU,mention,0.5
ecb,IMFNews,mention,0.5
ecb,UN,mention,0.5
ecb,sole24ore,mention,0.5
ecb,MNIMarketnews,mention,0.5
ecb,imf_podcast,mention,0.5
ecb,ECB_Research,mention,0.5
ecb,DNB_NL,mention,0.5
ecb,BankaSlovenije,mention,0.5
ecb,ecb,mention,0.5
ecb,EU_Commission,mention,0.5
ecb,politico,mention,0.5
ecb,EestiPank,mention,0.5
ecb,nationalbanken,mention,0.5
ecb,dlfkultur,mention,0.5
ecb,DelfiLV,mention,0.5
ecb,Unibocconi,mention,0.5
ecb,DeutscheBank,mention,0.5
ecb,vzinios,mention,0.5
ecb,suerf_org,mention,0.5
ecb,ForoLaToja,mention,0.5
ecb,ClevelandFed,mention,0.5
ecb,Lietuvosbankas,mention,0.5
ecb,GreensEFA,mention,0.5
ecb,derStandardat,mention,0.5
ecb,DrDanielRisch,mention,0.5
ecb,bundesbank,mention,0.5
ecb,tonline,mention,0.5
ecb,RobertShortt,mention,0.5
