username,language,isInfluencer,profession,isBank,isViral,hashtags
ecb,en,0,analyst,0,0,
Isabel_Schnabel,0,0,0,0,0,0
Bloomberg,0,0,0,0,0,0
ecb,en,0,unknown,0,0,
ecb,en,0,unknown,0,1,
CER_EU,0,0,0,0,0,0
EUdelegationUK,0,0,0,0,0,0
ecb,en,0,analyst,0,1,
ecb,en,0,analyst,0,1,['EconomicBulletin']
ecb,en,0,unknown,0,1,['EconomicBulletin']
ecb,en,0,finance expert,0,0,
ecb,en,0,finance expert,0,0,['TheECBPodcast']
katieranger_,0,0,0,0,0,0
ecb,en,0,finance expert,0,1,
Lagarde,0,0,0,0,0,0
Europarl_EN,0,0,0,0,0,0
ecb,en,0,unknown,0,1,['TheECBblog']
centralbank_ie,0,0,0,0,0,0
ecb,en,1,unknown,0,1,['ValentinesDay']
ecb,en,0,supporter,0,1,['EconomicBulletin']
ecb,en,0,finance expert,0,1,['EconomicBulletin']
ecb,en,0,critic,0,1,['AskECB']
ecb,en,0,unknown,0,1,['AskECB']
ecb,en,0,supporter,0,1,['AskECB']
ecb,en,0,finance expert,0,1,['AskECB']
ecb,en,0,critic,0,0,['AskECB']
fwred,0,0,0,0,0,0
JanBerka8,0,0,0,0,0,0
ecb,en,0,analyst,0,1,['AskECB']
pietphc,0,0,0,0,0,0
xadarcy,0,0,0,0,0,0
ecb,en,0,finance expert,0,0,['AskECB']
ReclaimFinance,0,0,0,0,0,0
stanjourdan,0,0,0,0,0,0
ecb,en,0,unknown,0,1,"['NGEU', 'AskECB']"
ecb,en,0,unknown,0,1,"['StandWithUkraine', 'AskECB']"
ecb,en,0,politics,0,1,"['fossilfation', 'greenflation', 'AskECB']"
ecb,de,0,unknown,0,1,['AskECB']
NGFS_,0,0,0,0,0,0
SZ,0,0,0,0,0,0
ecb,en,0,curious,0,0,['TheECBPodcast']
ecb,en,0,politics,0,1,
FrankElderson,0,0,0,0,0,0
ecb,en,0,critic,0,0,
ecb,en,0,analyst,0,1,['ECBForum']
finanzwende,0,0,0,0,0,0
ecb,en,0,curious,0,1,['TheECBblog']
ecb,fr,0,unknown,0,1,
ecb,nl,0,unknown,0,1,
ecb,es,0,unknown,0,1,
ecb,de,0,unknown,0,1,
ecb,it,0,unknown,0,1,
ecb,en,0,unknown,0,1,['TheECBPodcast']
EBA_News,0,0,0,0,0,0
jeuasommenulle,0,0,0,0,0,0
ecb,en,0,unknown,0,1,['ECBForum']
handelsblatt,0,0,0,0,0,0
EP_Economics,0,0,0,0,0,0
BankofGreece,0,0,0,0,0,0
ecb,en,0,finance expert,0,1,['TheECBblog']
FT,0,0,0,0,0,0
ecb,en,0,politics,0,1,['EconomicBulletin']
riksbanken,0,0,0,0,0,0
ecb,en,0,supporter,0,0,['TheECBPodcast']
ecb,en,0,unknown,0,0,['TheECBPodcast']
LSEnews,0,0,0,0,0,0
ecb,en,0,critic,0,0,['TheECBPodcast']
ecb,en,0,finance expert,0,1,['TheECBPodcast']
ecb,en,0,politics,0,1,['TheECBblog']
ecb,en,0,unknown,0,1,['Explainer']
ecb,en,0,finance expert,0,1,['Explainer']
ecb,en,0,unknown,0,0,['Explainer']
ecb,hr,0,unknown,0,1,
HNB_HR,0,0,0,0,0,0
ecb,en,0,unknown,0,1,"['TheECBPodcast', 'SpotifyWrapped']"
CEAJE,0,0,0,0,0,0
ecb,en,0,supporter,0,1,
FAZ_NET,0,0,0,0,0,0
lemondefr,0,0,0,0,0,0
ecb,en,0,supporter,0,1,['TheECBPodcast']
Eva_M_Taylor,0,0,0,0,0,0
ecb,en,0,unknown,0,1,['TheECBBlog']
AmerBanker,0,0,0,0,0,0
CBD_COP15,0,0,0,0,0,0
BaFin_Bund,0,0,0,0,0,0
ecb,en,0,finance expert,0,0,['ProudToBeNGFS']
LBS,0,0,0,0,0,0
EUI_FBF_School,0,0,0,0,0,0
