source,target,type,weight
darwinexistence,federalreserve,follow,1.5
maaxlng53,federalreserve,follow,1.5
AnnaMarkman1,federalreserve,follow,1.5
GODOFALL11,federalreserve,follow,1.5
Hollabaughloo,federalreserve,follow,1.5
AdeosunVictor2,federalreserve,follow,1.5
Op_bailey,federalreserve,follow,1.5
Marline324,federalreserve,follow,1.5
jing92385238,federalreserve,follow,1.5
gwNVKZxkKPMVxKD,federalreserve,follow,1.5
surean_thapa,federalreserve,follow,1.5
randomjunque,federalreserve,follow,1.5
HonBrokerage,federalreserve,follow,1.5
statusserverbot,federalreserve,follow,1.5
netballer4,federalreserve,follow,1.5
Monkeyb24134589,federalreserve,follow,1.5
LoveDamien,federalreserve,follow,1.5
Wasabi19760728,federalreserve,follow,1.5
ew5sfd2edtfygub,federalreserve,follow,1.5
sammmohammad1,federalreserve,follow,1.5
rachid9003,federalreserve,follow,1.5
chocospark20,federalreserve,follow,1.5
rakitha91,federalreserve,follow,1.5
TabishI91514199,federalreserve,follow,1.5
SHELLEYKHAN07,federalreserve,follow,1.5
RW_MOR,federalreserve,follow,1.5
SumanJiJha4,federalreserve,follow,1.5
arturgardinalli,federalreserve,follow,1.5
_trkerdnc,federalreserve,follow,1.5
FreddyGregory8,federalreserve,follow,1.5
SingsRenee,federalreserve,follow,1.5
MusyadadAkbar12,federalreserve,follow,1.5
realrnng7781,federalreserve,follow,1.5
Vladimi87548178,federalreserve,follow,1.5
exitinere,federalreserve,follow,1.5
DanaNeuman18,federalreserve,follow,1.5
MichaelTakeaim,federalreserve,follow,1.5
padpi52,federalreserve,follow,1.5
AndrewY26428758,federalreserve,follow,1.5
Heather18582339,federalreserve,follow,1.5
dangerousdaveMH,federalreserve,follow,1.5
henji786,federalreserve,follow,1.5
DevanGaffney,federalreserve,follow,1.5
quanhamad,federalreserve,follow,1.5
ShLo95779582,federalreserve,follow,1.5
jimmyjazzzs,federalreserve,follow,1.5
TerrelMcP,federalreserve,follow,1.5
ErDoughan,federalreserve,follow,1.5
StefanStroe4,federalreserve,follow,1.5
mabubakarseo,federalreserve,follow,1.5
bunna_okpani,federalreserve,follow,1.5
iPurely999,federalreserve,follow,1.5
haoyibusiness,federalreserve,follow,1.5
SuehilValadez33,federalreserve,follow,1.5
ankurkumar51,federalreserve,follow,1.5
PhanNguyen3501,federalreserve,follow,1.5
YorIn06637998,federalreserve,follow,1.5
dishanibrahim,federalreserve,follow,1.5
HLCqub,federalreserve,follow,1.5
TraderDA1,federalreserve,follow,1.5
SitaMalviya6,federalreserve,follow,1.5
RaoulBridgford,federalreserve,follow,1.5
ChaguaJoel,federalreserve,follow,1.5
mohitsh12426769,federalreserve,follow,1.5
Bromedo0,federalreserve,follow,1.5
JoseBla90703104,federalreserve,follow,1.5
0219Logan,federalreserve,follow,1.5
YtfinMr,federalreserve,follow,1.5
bil_oni,federalreserve,follow,1.5
laohanzhao,federalreserve,follow,1.5
clayforamerica,federalreserve,follow,1.5
shezi_sphumelel,federalreserve,follow,1.5
MarketsWay,federalreserve,follow,1.5
germanchaparro1,federalreserve,follow,1.5
boinvest2023,federalreserve,follow,1.5
duzv4,federalreserve,follow,1.5
PolyBee2,federalreserve,follow,1.5
MegafuraxI,federalreserve,follow,1.5
SalmanB20580337,federalreserve,follow,1.5
ENGAQ27,federalreserve,follow,1.5
xin04209901,federalreserve,follow,1.5
papifafi2,federalreserve,follow,1.5
hedgehedge000,federalreserve,follow,1.5
1MustafaTutuncu,federalreserve,follow,1.5
