username,language,isInfluencer,profession,isBank,hashtags
darwinexistence,0,0,0,0,0
maaxlng53,0,0,0,0,0
AnnaMarkman1,0,0,0,0,0
GODOFALL11,0,0,0,0,0
Hollabaughloo,0,0,0,0,0
AdeosunVictor2,0,0,0,0,0
Op_bailey,0,0,0,0,0
Marline324,0,0,0,0,0
jing92385238,0,0,0,0,0
gwNVKZxkKPMVxKD,0,0,0,0,0
surean_thapa,0,0,0,0,0
randomjunque,0,0,0,0,0
HonBrokerage,0,0,0,0,0
statusserverbot,0,0,0,0,0
netballer4,0,0,0,0,0
Monkeyb24134589,0,0,0,0,0
LoveDamien,0,0,0,0,0
Wasabi19760728,0,0,0,0,0
ew5sfd2edtfygub,0,0,0,0,0
sammmohammad1,0,0,0,0,0
rachid9003,0,0,0,0,0
chocospark20,0,0,0,0,0
rakitha91,0,0,0,0,0
TabishI91514199,0,0,0,0,0
SHELLEYKHAN07,0,0,0,0,0
RW_MOR,0,0,0,0,0
SumanJiJha4,0,0,0,0,0
arturgardinalli,0,0,0,0,0
_trkerdnc,0,0,0,0,0
FreddyGregory8,0,0,0,0,0
SingsRenee,0,0,0,0,0
MusyadadAkbar12,0,0,0,0,0
realrnng7781,0,0,0,0,0
Vladimi87548178,0,0,0,0,0
exitinere,0,0,0,0,0
DanaNeuman18,0,0,0,0,0
MichaelTakeaim,0,0,0,0,0
padpi52,0,0,0,0,0
AndrewY26428758,0,0,0,0,0
Heather18582339,0,0,0,0,0
dangerousdaveMH,0,0,0,0,0
henji786,0,0,0,0,0
DevanGaffney,0,0,0,0,0
quanhamad,0,0,0,0,0
ShLo95779582,0,0,0,0,0
jimmyjazzzs,0,0,0,0,0
TerrelMcP,0,0,0,0,0
ErDoughan,0,0,0,0,0
StefanStroe4,0,0,0,0,0
mabubakarseo,0,0,0,0,0
bunna_okpani,0,0,0,0,0
iPurely999,0,0,0,0,0
haoyibusiness,0,0,0,0,0
SuehilValadez33,0,0,0,0,0
ankurkumar51,0,0,0,0,0
PhanNguyen3501,0,0,0,0,0
YorIn06637998,0,0,0,0,0
dishanibrahim,0,0,0,0,0
HLCqub,0,0,0,0,0
TraderDA1,0,0,0,0,0
SitaMalviya6,0,0,0,0,0
RaoulBridgford,0,0,0,0,0
ChaguaJoel,0,0,0,0,0
mohitsh12426769,0,0,0,0,0
Bromedo0,0,0,0,0,0
JoseBla90703104,0,0,0,0,0
0219Logan,0,0,0,0,0
YtfinMr,0,0,0,0,0
bil_oni,0,0,0,0,0
laohanzhao,0,0,0,0,0
clayforamerica,0,0,0,0,0
shezi_sphumelel,0,0,0,0,0
MarketsWay,0,0,0,0,0
germanchaparro1,0,0,0,0,0
boinvest2023,0,0,0,0,0
duzv4,0,0,0,0,0
PolyBee2,0,0,0,0,0
MegafuraxI,0,0,0,0,0
SalmanB20580337,0,0,0,0,0
ENGAQ27,0,0,0,0,0
xin04209901,0,0,0,0,0
papifafi2,0,0,0,0,0
hedgehedge000,0,0,0,0,0
1MustafaTutuncu,0,0,0,0,0
RobertPeary2,0,0,0,0,0
RagnarSuperstar,0,0,0,0,0
off2gaurav,0,0,0,0,0
RazvanCiochina,0,0,0,0,0
DemekeTsegaye4,0,0,0,0,0
Axiba_dtm,0,0,0,0,0
Mo_Za_Is,0,0,0,0,0
ChrisFryers67,0,0,0,0,0
MuhElMatari,0,0,0,0,0
rohitku01208379,0,0,0,0,0
RonfordRon,0,0,0,0,0
Nathanm1125,0,0,0,0,0
HoumedGaba03,0,0,0,0,0
kumiko17621371,0,0,0,0,0
YoundHassan,0,0,0,0,0
scam20215636921,0,0,0,0,0
Jai16660395,0,0,0,0,0
degen9293,0,0,0,0,0
smundonft,0,0,0,0,0
DanielM31944415,0,0,0,0,0
JonatanOhayon,0,0,0,0,0
arses1985,0,0,0,0,0
juliogo76305842,0,0,0,0,0
DevaAna46233568,0,0,0,0,0
Pratap70328285,0,0,0,0,0
decomejunior2,0,0,0,0,0
FJF1513,0,0,0,0,0
Nanda__OCE,0,0,0,0,0
Moose22436898,0,0,0,0,0
hashnomics,0,0,0,0,0
bognacki,0,0,0,0,0
Khurram89457469,0,0,0,0,0
redline0112358,0,0,0,0,0
ElshadElorde,0,0,0,0,0
RaghavS0000,0,0,0,0,0
pebasfa,0,0,0,0,0
Akwaiko,0,0,0,0,0
viralvidio123,0,0,0,0,0
LoganSt74756360,0,0,0,0,0
KatimiSai,0,0,0,0,0
samareshdas2020,0,0,0,0,0
vjelnora100,0,0,0,0,0
ShoaibAhmed363,0,0,0,0,0
mshindorris,0,0,0,0,0
LastGozZ,0,0,0,0,0
hamzajavaid28,0,0,0,0,0
Dark_bluish,0,0,0,0,0
qkompletellc,0,0,0,0,0
iAndresAlvarez1,0,0,0,0,0
kakar_khapalwak,0,0,0,0,0
olaflexi,0,0,0,0,0
NicoWendler,0,0,0,0,0
Bhuvana74321218,0,0,0,0,0
IscSeg,0,0,0,0,0
mshighativ,0,0,0,0,0
HaizarButt,0,0,0,0,0
super_snude,0,0,0,0,0
