conversation_id,username,tweet_text,tweet_date,retweet_count,like_count,view_count,cash_tags,hashtags,mentionned_users,quoted_tweet,place,vibe,card
1626333580786819073,federalreserve,Interactive guide to our weekly #BalanceSheet report: https://t.co/75xiVY33QW,2023-02-16 21:31:56+00:00,7,16,17312,,['BalanceSheet'],,,,,
1626333363408719873,federalreserve,Our weekly #BalanceSheet update: https://t.co/LjSvhf5K21 #FedData,2023-02-16 21:31:04+00:00,10,20,19027,,"['BalanceSheet', 'FedData']",,,,,
1626325875087101953,federalreserve,Learn more about Governor Cook: https://t.co/iDmKda2CAC,2023-02-16 21:01:18+00:00,3,13,16709,,,,,,,
1626325830019211264,federalreserve,"Welcome remarks by Governor Cook at the Sadie Collective Research Reception: https://t.co/aUOLTAFbyF

Watch live: https://t.co/A9E8jifprx",2023-02-16 21:01:08+00:00,6,8,15317,,,,,,,"SummaryCard(title='The Sadie Collective annual research reception', url='https://www.brookings.edu/events/the-sadie-collective-annual-research-reception/', description='On Feb. 16, 2023, the eve of the Sadie Collective’s annual conference, six scholars will present their research on a variety of topics.', thumbnailUrl='https://pbs.twimg.com/card_img/1626335554257256450/BorTX2ra?format=jpg&name=orig', siteUser=User(username='BrookingsInst', id=151106990, displayname='The Brookings Institution', rawDescription='Independent research and analysis on the most important policy issues in the world. Sign up for the daily Brookings Brief: https://t.co/PrjqReh5XD', renderedDescription='Independent research and analysis on the most important policy issues in the world. Sign up for the daily Brookings Brief: brook.gs/3JuZxRE', descriptionLinks=[TextLink(text='brook.gs/3JuZxRE', url='https://brook.gs/3JuZxRE', tcourl='https://t.co/PrjqReh5XD', indices=(123, 146))], verified=True, created=datetime.datetime(2010, 6, 2, 16, 28, 27, tzinfo=datetime.timezone.utc), followersCount=446252, friendsCount=4453, statusesCount=107908, favouritesCount=3434, listedCount=7830, mediaCount=29694, location='Washington, DC', protected=False, link=TextLink(text='brookings.edu', url='http://www.brookings.edu', tcourl='https://t.co/ep6cP2bAlU', indices=(0, 23)), profileImageUrl='https://pbs.twimg.com/profile_images/1410597093157134339/EgB6rhUY_normal.png', profileBannerUrl='https://pbs.twimg.com/profile_banners/151106990/1598964962', label=None), creatorUser=None)"
1626307713218084866,federalreserve,"Having an issue with your bank?  Did your credit card company close your account without warning?  Did an online merchant refuse to send your purchase after they took your money?  Know your rights as a consumer!  Learn more here: 
https://t.co/NaB20euXYx 
https://t.co/WFcdPtfXIn",2023-02-16 19:49:08+00:00,4,28,19700,,,,,,,"PlayerCard(title='Consumer Complaints', url='https://youtu.be/g1bHPx3ZXQY', description='Are you having an issue with your bank? Did your credit card company close your account without warning? Did an online merchant refuse to send your purchas...', imageUrl='https://pbs.twimg.com/card_img/1625570324078071840/biLHQcRR?format=jpg&name=orig', siteUser=User(username='YouTube', id=10228272, displayname='YouTube', rawDescription='like and subscribe.', renderedDescription='like and subscribe.', descriptionLinks=None, verified=True, created=datetime.datetime(2007, 11, 13, 21, 43, 46, tzinfo=datetime.timezone.utc), followersCount=78667610, friendsCount=1192, statusesCount=51086, favouritesCount=6150, listedCount=80155, mediaCount=15141, location='San Bruno, CA', protected=False, link=TextLink(text='youtube.com', url='http://youtube.com', tcourl='https://t.co/bUisN3Y1A6', indices=(0, 23)), profileImageUrl='https://pbs.twimg.com/profile_images/1427292844612595720/RC1YSvuT_normal.jpg', profileBannerUrl='https://pbs.twimg.com/profile_banners/10228272/1670547873', label=None))"
1626250340151484417,federalreserve,Today's #EnforcementActions: https://t.co/nAZsZZgErv,2023-02-16 16:01:10+00:00,4,19,17432,,['EnforcementActions'],,,,,"SummaryCard(title='Federal Reserve Board issues enforcement action with Riverbend Financial Corporation', url='https://www.federalreserve.gov/newsevents/pressreleases/enforcement20230216a.htm', description='The Federal Reserve Board on Thursday announced the execution of the enforcement action listed below: Riverbend Financial Corporation, Fort Worth, Texas Writt', thumbnailUrl=None, siteUser=None, creatorUser=None)"
1625932675008561153,federalreserve,"#FedFAQ:  I received a suspicious-looking e-mail that claims to be from the Federal Reserve. Is it a scam? 

Learn more: 
https://t.co/0b1Bgmhy3y https://t.co/4RgK3Aj8nf",2023-02-15 18:58:52+00:00,6,23,23552,,['FedFAQ'],,,,,
1625888126668341248,federalreserve,Learn more about Governor Bowman: https://t.co/tWe5lT37NX,2023-02-15 16:01:51+00:00,7,17,18140,,,,,,,
1625888064521265152,federalreserve,Welcoming remarks by Governor Bowman at the Midwest Cyber Workshop organized by @ChicagoFed @KansasCityFed @stlouisfed: https://t.co/Q1zACqq7eL,2023-02-15 16:01:36+00:00,6,22,17961,,,"[User(username='ChicagoFed', id=46804450, displayname='ChicagoFed', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='KansasCityFed', id=284112637, displayname='Kansas City Fed', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='stlouisfed', id=71567590, displayname='St. Louis Fed', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,,,"SummaryCard(title='Welcoming remarks by Governor Bowman at the Midwest Cyber Workshop', url='https://www.federalreserve.gov/newsevents/speech/bowman20230215a.htm', description='Introductory Remarks Good morning. It is a pleasure to join you, and I appreciate the invitation to speak to you virtually for this inaugural Midwest Cyber W', thumbnailUrl=None, siteUser=None, creatorUser=None)"
1625861430783229953,federalreserve,"January #IndustrialProduction: Total +0.0%, Mfg. +1.0%, Utilities -9.9%, Mining +2.0%; #CapacityUtilization 78.3% https://t.co/nYuGKYaV9g #FedData",2023-02-15 14:15:46+00:00,14,45,25102,,"['IndustrialProduction', 'CapacityUtilization', 'FedData']",,,,,
1625616135176482816,federalreserve,"Lael Brainard submits resignation as Vice Chair and a member of the Federal Reserve Board, effective on or around February 20, 2023: https://t.co/zYd4CYNT6R",2023-02-14 22:01:03+00:00,32,114,65011,,,,,,,"SummaryCard(title='Lael Brainard submits resignation as Vice Chair and a member of the Federal Reserve Board, effect...', url='https://www.federalreserve.gov/newsevents/pressreleases/other20230214a.htm', description='Lael Brainard submitted her resignation February 14, 2023 as Vice Chair and a member of the Federal Reserve Board, effective on or around February 20, 2023. Sh', thumbnailUrl=None, siteUser=None, creatorUser=None)"
1625513308391456769,federalreserve,"Having an issue with your bank?  Did your credit card company close your account without warning?  Did an online merchant refuse to send your purchase after they took your money?  Know your rights as a consumer!  Learn more here:
https://t.co/x1ncRCHF7Y
https://t.co/WFcdPtfXIn",2023-02-14 15:12:27+00:00,9,34,23600,,,,,,,"PlayerCard(title='Consumer Complaints', url='https://youtu.be/g1bHPx3ZXQY', description='Are you having an issue with your bank? Did your credit card company close your account without warning? Did an online merchant refuse to send your purchas...', imageUrl='https://pbs.twimg.com/card_img/1625570324078071840/biLHQcRR?format=jpg&name=orig', siteUser=User(username='YouTube', id=10228272, displayname='YouTube', rawDescription='like and subscribe.', renderedDescription='like and subscribe.', descriptionLinks=None, verified=True, created=datetime.datetime(2007, 11, 13, 21, 43, 46, tzinfo=datetime.timezone.utc), followersCount=78667610, friendsCount=1192, statusesCount=51086, favouritesCount=6150, listedCount=80155, mediaCount=15141, location='San Bruno, CA', protected=False, link=TextLink(text='youtube.com', url='http://youtube.com', tcourl='https://t.co/bUisN3Y1A6', indices=(0, 23)), profileImageUrl='https://pbs.twimg.com/profile_images/1427292844612595720/RC1YSvuT_normal.jpg', profileBannerUrl='https://pbs.twimg.com/profile_banners/10228272/1670547873', label=None))"
1625207430203248654,federalreserve,"#FedFAQ: Does the Federal Reserve maintain accounts for individuals? Can individuals use such accounts to pay bills and get money?  No. The Federal Reserve Banks provide financial services to banks and governmental entities only. 

Learn more: https://t.co/5vjKq2cvhg",2023-02-13 18:57:00+00:00,6,42,29036,,['FedFAQ'],,,,,
1625117960154017793,federalreserve,Learn more about Governor Bowman: https://t.co/tWe5lT37NX,2023-02-13 13:01:29+00:00,6,28,26287,,,,,,,
1625117897688334338,federalreserve,"Speech by Governor Bowman on independence, predictability, and tailoring in banking supervision and regulation: https://t.co/aQjzUQxag5

Watch live: https://t.co/1dh9HPWyMi",2023-02-13 13:01:14+00:00,14,44,27088,,,,,,,"BroadcastCard(id='1nAKErkaElvGL', url='https://twitter.com/i/broadcasts/1nAKErkaElvGL', title='CCB 2023: Rob Nichols + Gov. Michelle Bowman', state='ENDED', broadcaster=User(username='ABABankers', id=14857739, displayname='AmericanBankersAssn', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None), thumbnailUrl=None, source='livecms', siteUser=User(username='ABABankers', id=14857739, displayname='American Bankers Association', rawDescription=""The American Bankers Association is the banking industry's champion. #AmericasBanks are helping the nation thrive—delivering jobs, growth, safety & convenience."", renderedDescription=""The American Bankers Association is the banking industry's champion. #AmericasBanks are helping the nation thrive—delivering jobs, growth, safety & convenience."", descriptionLinks=None, verified=True, created=datetime.datetime(2008, 5, 21, 15, 34, tzinfo=datetime.timezone.utc), followersCount=28852, friendsCount=1863, statusesCount=22529, favouritesCount=19116, listedCount=751, mediaCount=6288, location='Washington, DC', protected=False, link=TextLink(text='aba.com', url='http://www.aba.com', tcourl='https://t.co/48Fx8EPBQ8', indices=(0, 23)), profileImageUrl='https://pbs.twimg.com/profile_images/859026963339587588/cPKFwgDi_normal.jpg', profileBannerUrl='https://pbs.twimg.com/profile_banners/14857739/1628280413', label=None))"
1624155265800044544,federalreserve,Now available: Weekly data on the Assets and Liabilities of Commercial Banks in the United States: https://t.co/Q478LdiYLB #FedData,2023-02-10 21:16:05+00:00,17,43,30714,,['FedData'],,,,,
1624119113659387909,federalreserve,"#FedFAQ: Does the Federal Reserve maintain accounts for individuals? 
No. The Federal Reserve Banks provide financial services to banks and government entities only.
Learn more: https://t.co/5vjKq2cvhg https://t.co/18VklCe0B4",2023-02-10 18:52:26+00:00,18,46,34042,,['FedFAQ'],,,,,
1624098772375465984,federalreserve,Learn more about Governor Waller: https://t.co/x9pLY09hPB,2023-02-10 17:31:45+00:00,3,16,18804,,,,,,,
