source,target,type,weight
federalreserve,federalreserve,tweet,1.0
federalreserve,ChicagoFed,mention,0.5
federalreserve,KansasCityFed,mention,0.5
federalreserve,stlouisfed,mention,0.5
federalreserve,federalreserve,mention,0.5
federalreserve,FDICgov,mention,0.5
federalreserve,USOCC,mention,0.5
federalreserve,Princeton,mention,0.5
federalreserve,bankofcanada,mention,0.5
federalreserve,bankofengland,mention,0.5
federalreserve,ecb,mention,0.5
federalreserve,uscurrency,mention,0.5
federalreserve,FedCommunities,mention,0.5
federalreserve,NewYorkFed,mention,0.5
federalreserve,DallasFed,mention,0.5
federalreserve,CFPB,mention,0.5
federalreserve,AtlantaFed,mention,0.5
federalreserve,benbernanke,mention,0.5
federalreserve,NobelPrize,mention,0.5
federalreserve,RichmondFed,mention,0.5
federalreserve,CSBSNews,mention,0.5
federalreserve,TheNCUA,mention,0.5
federalreserve,MinneapolisFed,mention,0.5
federalreserve,FederalReseve,mention,0.5
federalreserve,WSJ,mention,0.5
federalreserve,Marketplace,mention,0.5
federalreserve,fcagov,mention,0.5
federalreserve,PaceUniversity,mention,0.5
federalreserve,ClevelandFed,mention,0.5
federalreserve,philadelphiafed,mention,0.5
federalreserve,60Minutes,mention,0.5
federalreserve,IMFNews,mention,0.5
federalreserve,MorningEdition,mention,0.5
federalreserve,CFR_org,mention,0.5
federalreserve,IIBnews,mention,0.5
federalreserve,Harvard,mention,0.5
federalreserve,NGFS_,mention,0.5
federalreserve,ICBA,mention,0.5
federalreserve,HowardU,mention,0.5
federalreserve,dartmouth,mention,0.5
federalreserve,MFAupdates,mention,0.5
federalreserve,Fed_Careers,mention,0.5
federalreserve,FedResearch,mention,0.5
federalreserve,Harvard_Law,mention,0.5
federalreserve,Wharton,mention,0.5
federalreserve,BrookingsInst,mention,0.5
federalreserve,MichiganCFLP,mention,0.5
federalreserve,FHFA,mention,0.5
federalreserve,CFTC,mention,0.5
federalreserve,sec_news,mention,0.5
federalreserve,BostonFed,mention,0.5
federalreserve,SBAgov,mention,0.5
federalreserve,TODAYshow,mention,0.5
federalreserve,LinkedIn,mention,0.5
federalreserve,urbaninstitute,mention,0.5
federalreserve,FedEconEd,mention,0.5
federalreserve,NatlJumpStart,mention,0.5
federalreserve,PIIE,mention,0.5
federalreserve,KIPP_DC,mention,0.5
federalreserve,APSVirginia,mention,0.5
federalreserve,Georgetown,mention,0.5
federalreserve,DelStateUniv,mention,0.5
federalreserve,GeorgeMasonU,mention,0.5
federalreserve,CDIScholars,mention,0.5
federalreserve,BowieState,mention,0.5
federalreserve,UofMaryland,mention,0.5
federalreserve,mcgillu,mention,0.5
federalreserve,VCU,mention,0.5
federalreserve,GWtweets,mention,0.5
federalreserve,MVSUDEVILS,mention,0.5
federalreserve,FinStbBoard,mention,0.5
federalreserve,SanFranFed,mention,0.5
federalreserve,sffed,mention,0.5
federalreserve,Yale,mention,0.5
federalreserve,USTreasury,mention,0.5
federalreserve,UNCF,mention,0.5
federalreserve,UCBerkeley,mention,0.5
federalreserve,UMBaltimore,mention,0.5
federalreserve,AmericanU,mention,0.5
federalreserve,Morehouse,mention,0.5
federalreserve,WHSHappenings,mention,0.5
federalreserve,NebraskaEcon,mention,0.5
federalreserve,JudyWoodruff,mention,0.5
federalreserve,UcocC,mention,0.5
federalreserve,mHUBChicago,mention,0.5
federalreserve,NYUStern,mention,0.5
federalreserve,TriCedu,mention,0.5
federalreserve,riksbanken,mention,0.5
federalreserve,BrownUniversity,mention,0.5
federalreserve,eubiebee,mention,0.5
